Algoritmo,Tamanho,Granularidade,Processadores,Tempo
mergesort,1000,100,1,0.000190
mergesort,1000,100,1,0.000164
mergesort,1000,100,2,0.000119
mergesort,1000,100,4,0.000100
mergesort,1000,500,1,0.000103
mergesort,1000,500,1,0.000110
mergesort,1000,500,2,0.000090
mergesort,1000,500,4,0.000084
mergesort,1000,1000,1,0.000118
mergesort,1000,1000,1,0.000111
mergesort,1000,1000,2,0.000111
mergesort,1000,1000,4,0.000112
mergesort,10000,100,1,0.001438
mergesort,10000,100,1,0.001700
mergesort,10000,100,2,0.001085
mergesort,10000,100,4,0.000448
mergesort,10000,500,1,0.001032
mergesort,10000,500,1,0.001192
mergesort,10000,500,2,0.000563
mergesort,10000,500,4,0.000569
mergesort,10000,1000,1,0.001533
mergesort,10000,1000,1,0.001565
mergesort,10000,1000,2,0.001183
mergesort,10000,1000,4,0.000518
mergesort,50000,100,1,0.007208
mergesort,50000,100,1,0.007965
mergesort,50000,100,2,0.004744
mergesort,50000,100,4,0.003182
mergesort,50000,500,1,0.006392
mergesort,50000,500,1,0.006827
mergesort,50000,500,2,0.004034
mergesort,50000,500,4,0.002778
mergesort,50000,1000,1,0.006425
mergesort,50000,1000,1,0.006826
mergesort,50000,1000,2,0.004014
mergesort,50000,1000,4,0.002542
